node_id,tgn_memory,gt_embedding,scn_embedding
1229,"[ 0.07787645 -0.10723617 -0.02667617  0.17569543 -0.01605246 -0.04112788
 -0.16928168  0.01057103]","[ 1.191388   -0.9899686   0.12720795  1.4065595  -0.4139226  -0.0295336
 -1.785906    0.4941755 ]","[-0.31280762 -0.17382136 -0.07435642 -0.5267339  -1.552645    0.09777181
 -0.20602909 -0.714499  ]"
1230,"[ 0.07786353 -0.10725848 -0.026666    0.175703   -0.0160587  -0.04113812
 -0.16928223  0.01056903]","[ 1.1913093  -0.99011654  0.12735073  1.4066062  -0.41393355 -0.02954858
 -1.7858301   0.4941627 ]","[-0.31280518 -0.17382339 -0.07435863 -0.52673376 -1.5526457   0.09776957
 -0.20602909 -0.7145013 ]"
1231,"[ 0.0778246  -0.10728935 -0.02660277  0.17568372 -0.01608739 -0.0411887
 -0.16922574  0.01062561]","[ 1.1911726  -0.99056625  0.12800142  1.4064237  -0.41415846 -0.02999494
 -1.7855649   0.49468708]","[-0.31279016 -0.17383748 -0.07436995 -0.5267394  -1.5526502   0.09775075
 -0.20603009 -0.7145088 ]"
1232,"[ 0.07786576 -0.10724904 -0.02666808  0.17570122 -0.01606176 -0.04112997
 -0.16928042  0.01056885]","[ 1.1913228  -0.9900592   0.12731059  1.4066045  -0.41398084 -0.02951737
 -1.785846    0.4941658 ]","[-0.31280643 -0.17382273 -0.07435794 -0.5267333  -1.5526454   0.09777027
 -0.2060287  -0.71450096]"
1233,"[ 0.0778785  -0.1072398  -0.02668242  0.17570056 -0.01604865 -0.04112553
 -0.16929062  0.0105624 ]","[ 1.1913859  -0.98995525  0.12715837  1.4065971  -0.41387635 -0.02948254
 -1.7859223   0.4940952 ]","[-0.31280887 -0.17382002 -0.07435553 -0.5267332  -1.5526445   0.09777382
 -0.20602903 -0.7144986 ]"
1234,"[ 0.07793389 -0.10701626 -0.02669386  0.17561235 -0.01609731 -0.04100481
 -0.16919605  0.0106339 ]","[ 1.1918321  -0.9888312   0.1265581   1.4061257  -0.41481164 -0.0294254
 -1.7862494   0.49480215]","[-0.31282473 -0.1738159  -0.07434596 -0.5267302  -1.552645    0.09777404
 -0.20602521 -0.71448886]"
1235,"[ 0.07787751 -0.10724024 -0.02668509  0.17570478 -0.01605171 -0.04111891
 -0.16929485  0.01055572]","[ 1.1913698  -0.9899389   0.12713462  1.4066374  -0.4139008  -0.02942005
 -1.7859223   0.49404025]","[-0.31281003 -0.17381907 -0.07435496 -0.52673215 -1.5526443   0.0977751
 -0.20602866 -0.71449876]"
1236,"[ 0.07787756 -0.10724021 -0.02668512  0.17570476 -0.01605169 -0.04111889
 -0.16929483  0.01055572]","[ 1.1913702  -0.9899389   0.1271342   1.4066373  -0.41390067 -0.02941998
 -1.7859225   0.49404034]","[-0.31281003 -0.17381907 -0.07435496 -0.52673215 -1.5526443   0.0977751
 -0.20602866 -0.71449876]"
1237,"[ 0.07787756 -0.10724021 -0.02668512  0.17570476 -0.01605169 -0.04111889
 -0.16929483  0.01055572]","[ 1.1913702  -0.9899389   0.1271342   1.4066373  -0.41390067 -0.02941998
 -1.7859225   0.49404034]","[-0.31281003 -0.17381907 -0.07435496 -0.52673215 -1.5526443   0.0977751
 -0.20602866 -0.71449876]"
1238,"[ 0.07787751 -0.10724024 -0.02668509  0.17570478 -0.01605172 -0.04111891
 -0.16929483  0.01055572]","[ 1.1913698  -0.989939    0.1271346   1.4066374  -0.41390088 -0.02942004
 -1.7859222   0.49404028]","[-0.31281003 -0.17381907 -0.07435496 -0.52673215 -1.5526443   0.0977751
 -0.20602866 -0.71449876]"
1239,"[ 0.07787756 -0.10724021 -0.02668512  0.17570476 -0.01605169 -0.04111889
 -0.16929483  0.01055572]","[ 1.1913702  -0.9899389   0.1271342   1.4066373  -0.41390067 -0.02941998
 -1.7859225   0.49404034]","[-0.31281003 -0.17381907 -0.07435496 -0.52673215 -1.5526443   0.0977751
 -0.20602866 -0.71449876]"
1240,"[ 0.07787751 -0.10724024 -0.02668508  0.17570476 -0.01605174 -0.0411189
 -0.16929482  0.01055573]","[ 1.19137    -0.98993903  0.12713468  1.4066374  -0.41390103 -0.02942
 -1.7859223   0.49404046]","[-0.31281003 -0.17381907 -0.07435496 -0.52673215 -1.5526443   0.0977751
 -0.20602866 -0.71449876]"
1241,"[ 0.0778776  -0.10724005 -0.02668509  0.17570466 -0.01605167 -0.0411189
 -0.16929474  0.01055586]","[ 1.1913708  -0.98993826  0.12713417  1.4066366  -0.4139009  -0.02942077
 -1.7859229   0.49404135]","[-0.3128101  -0.1738191  -0.07435493 -0.52673215 -1.5526441   0.09777506
 -0.2060287  -0.7144987 ]"
1242,"[ 0.07787756 -0.10724017 -0.02668512  0.17570475 -0.01605169 -0.0411189
 -0.1692948   0.01055575]","[ 1.1913705  -0.9899387   0.1271341   1.4066373  -0.4139008  -0.02942021
 -1.7859225   0.49404043]","[-0.3128101  -0.1738191  -0.07435493 -0.52673215 -1.5526443   0.09777513
 -0.20602864 -0.7144987 ]"
1243,"[ 0.07787558 -0.10724138 -0.02668238  0.17570423 -0.01605363 -0.04112025
 -0.1692925   0.01055771]","[ 1.191362   -0.98995644  0.12716207  1.4066331  -0.41391695 -0.02943323
 -1.7859102   0.49405983]","[-0.31280956 -0.17381969 -0.07435538 -0.52673227 -1.5526444   0.09777433
 -0.20602864 -0.7144991 ]"
1244,"[ 0.07787751 -0.10724024 -0.02668509  0.17570478 -0.01605172 -0.0411189
 -0.16929483  0.01055572]","[ 1.1913698  -0.989939    0.1271346   1.4066374  -0.41390088 -0.02942004
 -1.7859222   0.49404028]","[-0.31281003 -0.17381907 -0.07435496 -0.52673215 -1.5526443   0.0977751
 -0.20602866 -0.71449876]"
1245,"[ 0.07787742 -0.10724029 -0.02668497  0.17570476 -0.01605184 -0.04111893
 -0.16929473  0.01055579]","[ 1.1913697  -0.98993975  0.12713578  1.4066374  -0.41390195 -0.02942039
 -1.7859217   0.49404106]","[-0.31281003 -0.17381915 -0.07435499 -0.5267322  -1.5526443   0.0977751
 -0.20602863 -0.7144987 ]"
1246,"[ 0.07787742 -0.10724026 -0.02668496  0.17570475 -0.01605187 -0.04111888
 -0.1692947   0.0105558 ]","[ 1.1913697  -0.9899397   0.1271358   1.4066373  -0.41390228 -0.02942014
 -1.7859217   0.49404114]","[-0.31281003 -0.17381915 -0.07435499 -0.5267322  -1.5526443   0.09777509
 -0.20602863 -0.7144987 ]"
1247,"[ 0.0778785  -0.10723874 -0.02668587  0.17570423 -0.01605107 -0.04111836
 -0.16929486  0.01055588]","[ 1.1913762  -0.98992884  0.12712419  1.4066339  -0.41389802 -0.02941997
 -1.7859281   0.4940412 ]","[-0.31281027 -0.173819   -0.07435481 -0.52673215 -1.5526443   0.09777521
 -0.20602873 -0.7144986 ]"
1248,"[ 0.07787724 -0.10724021 -0.02668474  0.1757047  -0.01605215 -0.04111882
 -0.16929448  0.01055593]","[ 1.1913688  -0.9899402   0.12713778  1.4066373  -0.41390494 -0.0294204
 -1.7859207   0.49404275]","[-0.31281003 -0.17381918 -0.07435502 -0.52673215 -1.5526443   0.09777498
 -0.20602863 -0.7144988 ]"
1249,"[ 0.0778775  -0.10724029 -0.02668507  0.17570478 -0.01605172 -0.04111893
 -0.16929483  0.01055573]","[ 1.19137    -0.98993933  0.1271348   1.4066374  -0.4139008  -0.02942015
 -1.7859222   0.49404028]","[-0.31281003 -0.17381907 -0.07435496 -0.52673215 -1.5526443   0.0977751
 -0.20602863 -0.71449876]"
1250,"[ 0.07787763 -0.10723989 -0.02668513  0.17570464 -0.01605176 -0.04111872
 -0.1692947   0.01055583]","[ 1.191371   -0.9899373   0.12713343  1.4066367  -0.4139021  -0.02942003
 -1.7859231   0.4940413 ]","[-0.3128101  -0.1738191  -0.0743549  -0.5267322  -1.5526443   0.09777512
 -0.20602863 -0.7144987 ]"
1251,"[ 0.07787783 -0.10723933 -0.02668513  0.1757043  -0.01605171 -0.04111866
 -0.1692944   0.01055619]","[ 1.1913725  -0.98993456  0.12713213  1.4066343  -0.41390282 -0.02942182
 -1.7859241   0.49404442]","[-0.31281018 -0.1738191  -0.0743549  -0.5267322  -1.5526443   0.09777504
 -0.2060287  -0.71449864]"
1252,"[ 0.07787751 -0.10724024 -0.02668509  0.17570478 -0.01605171 -0.04111891
 -0.16929485  0.01055572]","[ 1.1913698  -0.9899389   0.12713462  1.4066374  -0.4139008  -0.02942005
 -1.7859223   0.49404025]","[-0.31281003 -0.17381907 -0.07435496 -0.52673215 -1.5526443   0.0977751
 -0.20602866 -0.71449876]"
1253,"[ 0.07787751 -0.10724024 -0.02668509  0.17570478 -0.01605171 -0.04111891
 -0.16929485  0.01055572]","[ 1.1913698  -0.9899389   0.12713462  1.4066374  -0.4139008  -0.02942005
 -1.7859223   0.49404025]","[-0.31281003 -0.17381907 -0.07435496 -0.52673215 -1.5526443   0.0977751
 -0.20602866 -0.71449876]"
1254,"[ 0.07787751 -0.10724024 -0.02668509  0.17570478 -0.01605171 -0.04111891
 -0.16929485  0.01055572]","[ 1.1913698  -0.9899389   0.12713462  1.4066374  -0.4139008  -0.02942005
 -1.7859223   0.49404025]","[-0.31281003 -0.17381907 -0.07435496 -0.52673215 -1.5526443   0.0977751
 -0.20602866 -0.71449876]"
1255,"[ 0.07787704 -0.1072405  -0.0266845   0.1757047  -0.01605222 -0.0411191
 -0.16929436  0.01055609]","[ 1.191368   -0.9899427   0.12714064  1.406637   -0.41390517 -0.02942215
 -1.7859195   0.494044  ]","[-0.31280994 -0.17381924 -0.07435505 -0.5267322  -1.5526443   0.0977749
 -0.20602866 -0.7144988 ]"
1256,"[ 0.07787754 -0.10723943 -0.02668482  0.17570435 -0.01605216 -0.04111854
 -0.16929416  0.01055625]","[ 1.1913708  -0.9899362   0.12713525  1.4066349  -0.41390672 -0.02942121
 -1.7859223   0.49404553]","[-0.31281012 -0.17381918 -0.07435493 -0.52673215 -1.5526443   0.09777504
 -0.20602858 -0.7144987 ]"
1257,"[ 0.07787742 -0.10724036 -0.02668499  0.17570478 -0.01605175 -0.04111901
 -0.16929479  0.01055577]","[ 1.1913695  -0.9899402   0.12713575  1.4066374  -0.41390094 -0.02942063
 -1.7859219   0.4940408 ]","[-0.31281003 -0.17381915 -0.07435499 -0.5267322  -1.5526443   0.0977751
 -0.20602863 -0.7144987 ]"
1258,"[ 0.07787748 -0.10723976 -0.02668485  0.17570446 -0.01605203 -0.04111874
 -0.16929433  0.01055613]","[ 1.1913705  -0.98993784  0.12713575  1.4066356  -0.41390488 -0.02942133
 -1.785922    0.49404424]","[-0.31281012 -0.17381918 -0.07435499 -0.52673215 -1.5526443   0.09777504
 -0.20602861 -0.7144987 ]"
1259,"[ 0.07787843 -0.107233   -0.02668447  0.17570187 -0.01605466 -0.04111462
 -0.16929083  0.01055849]","[ 1.1913801  -0.9899063   0.12712422  1.4066231  -0.41394398 -0.02941784
 -1.7859281   0.49406877]","[-0.3128105  -0.17381915 -0.07435478 -0.52673197 -1.5526443   0.09777489
 -0.2060285  -0.7144986 ]"
1260,"[ 0.07787522 -0.10723815 -0.02668109  0.17570275 -0.0160561  -0.04111824
 -0.16928965  0.01055961]","[ 1.1913632  -0.9899462   0.12716667  1.4066261  -0.41394717 -0.02943425
 -1.7859076   0.49407953]","[-0.31280968 -0.17381984 -0.07435541 -0.5267322  -1.5526445   0.09777401
 -0.20602854 -0.7144992 ]"
1261,"[ 0.07787745 -0.10724004 -0.02668497  0.17570469 -0.01605195 -0.04111874
 -0.16929464  0.01055584]","[ 1.19137    -0.98993844  0.12713522  1.4066371  -0.4139034  -0.02941984
 -1.785922    0.49404168]","[-0.31281006 -0.1738191  -0.07435496 -0.5267321  -1.5526443   0.09777507
 -0.20602863 -0.71449876]"
1262,"[ 0.07787672 -0.10723976 -0.02668387  0.17570429 -0.01605312 -0.04111865
 -0.16929334  0.01055676]","[ 1.1913673  -0.98994184  0.12714468  1.4066352  -0.41391525 -0.02942333
 -1.7859175   0.49405095]","[-0.31280994 -0.1738194  -0.07435508 -0.5267321  -1.5526443   0.09777474
 -0.20602866 -0.7144988 ]"
1263,"[ 0.07787756 -0.10724021 -0.02668512  0.17570476 -0.01605169 -0.04111889
 -0.16929483  0.01055572]","[ 1.1913702  -0.9899389   0.1271342   1.4066373  -0.41390067 -0.02941998
 -1.7859225   0.49404034]","[-0.31281003 -0.17381907 -0.07435496 -0.52673215 -1.5526443   0.0977751
 -0.20602866 -0.71449876]"
1264,"[ 0.07787741 -0.10724038 -0.02668498  0.17570478 -0.01605177 -0.04111902
 -0.16929477  0.01055579]","[ 1.1913695  -0.9899402   0.12713598  1.4066374  -0.41390106 -0.02942073
 -1.7859218   0.494041  ]","[-0.31281006 -0.17381915 -0.07435496 -0.52673215 -1.5526443   0.09777503
 -0.20602866 -0.7144987 ]"
1265,"[ 0.07787769 -0.10723995 -0.02668521  0.17570466 -0.01605163 -0.0411188
 -0.16929482  0.01055577]","[ 1.1913713  -0.98993725  0.12713285  1.406637   -0.4139008  -0.02942011
 -1.7859235   0.49404073]","[-0.31281018 -0.17381907 -0.0743549  -0.52673215 -1.5526441   0.09777511
 -0.20602868 -0.7144987 ]"
1266,"[ 0.0778956  -0.1072201  -0.02669314  0.17568904 -0.01603199 -0.04112707
 -0.16929     0.01057006]","[ 1.1914965  -0.9898283   0.12701645  1.4065018  -0.41376662 -0.02954997
 -1.7860147   0.49414504]","[-0.31267187 -0.1740804  -0.07456388 -0.5266647  -1.5527622   0.09740797
 -0.20595977 -0.7147371 ]"
1267,"[ 0.07790589 -0.10723533 -0.02670736  0.17569503 -0.01600649 -0.04114255
 -0.16931045  0.01055952]","[ 1.191537   -0.98984975  0.12691943  1.4065118  -0.41349635 -0.02957263
 -1.7860712   0.49402156]","[-0.3126718  -0.1740781  -0.07456236 -0.52666605 -1.5527608   0.09741167
 -0.20596106 -0.714735  ]"
1268,"[ 0.07789658 -0.10724292 -0.02670324  0.17570272 -0.01601864 -0.0411354
 -0.16931191  0.01055212]","[ 1.1914723  -0.9898916   0.12697385  1.4065834  -0.4135896  -0.02949367
 -1.7860249   0.49397025]","[-0.31267238 -0.17407832 -0.07456298 -0.52666426 -1.5527612   0.09741157
 -0.20596024 -0.7147368 ]"
1269,"[ 0.07790822 -0.10718955 -0.02670565  0.17568319 -0.01603344 -0.04110334
 -0.16928962  0.01056723]","[ 1.1915668  -0.98962134  0.12683359  1.4064877  -0.4138412  -0.02945466
 -1.7860963   0.4941255 ]","[-0.31267712 -0.174077   -0.07456036 -0.5266629  -1.5527613   0.09741181
 -0.20595902 -0.71473455]"
1270,"[ 0.07790126 -0.10722694 -0.02669909  0.17569001 -0.01601816 -0.04113727
 -0.16929813  0.01056785]","[ 1.1915245  -0.9898433   0.12697688  1.4064885  -0.41362444 -0.02958763
 -1.7860433   0.49410897]","[-0.3126713  -0.17407966 -0.07456337 -0.52666587 -1.5527617   0.09740922
 -0.20596056 -0.714736  ]"
1271,"[ 0.07790685 -0.10723586 -0.02671289  0.17570011 -0.01600683 -0.04113561
 -0.16931772  0.01055055]","[ 1.1915288  -0.98982143  0.12686971  1.4065572  -0.41349468 -0.02949947
 -1.7860833   0.4939436 ]","[-0.31267366 -0.1740765  -0.07456125 -0.52666485 -1.5527604   0.09741388
 -0.20596072 -0.71473473]"
1272,"[ 0.07790724 -0.10722697 -0.02671139  0.17569658 -0.01601161 -0.04112994
 -0.1693121   0.01055418]","[ 1.1915374  -0.98978406  0.12686376  1.4065411  -0.41355836 -0.02949554
 -1.7860861   0.49398193]","[-0.31267425 -0.17407665 -0.0745611  -0.5266646  -1.5527606   0.09741341
 -0.20596044 -0.7147346 ]"
1273,"[ 0.07789614 -0.10726494 -0.02670329  0.17570673 -0.01600385 -0.04115729
 -0.16932057  0.01055102]","[ 1.1914659  -0.99000794  0.12702246  1.4065777  -0.413408   -0.02957693
 -1.7860141   0.49394098]","[-0.31266922 -0.17407912 -0.07456417 -0.52666634 -1.5527611   0.09741103
 -0.20596145 -0.7147369 ]"
1274,"[ 0.07789718 -0.10724761 -0.02670739  0.17570737 -0.01601609 -0.04113437
 -0.16931906  0.01054511]","[ 1.1914643  -0.98989296  0.12694605  1.4066168  -0.41355354 -0.02945425
 -1.7860317   0.49390548]","[-0.31267318 -0.17407727 -0.07456239 -0.5266637  -1.5527608   0.0974132
 -0.20596026 -0.7147367 ]"
1275,"[ 0.07790782 -0.10724367 -0.0267192   0.17570724 -0.01600231 -0.04113498
 -0.1693288   0.01054002]","[ 1.1915172  -0.9898274   0.12682883  1.4066069  -0.4134326  -0.02944443
 -1.786094    0.4938455 ]","[-0.3126747  -0.17407489 -0.07456039 -0.52666414 -1.5527596   0.09741628
 -0.20596077 -0.71473444]"
1276,"[ 0.07790203 -0.10725167 -0.02671272  0.17570817 -0.01600561 -0.04114084
 -0.16932568  0.0105428 ]","[ 1.191488   -0.9898947   0.12690607  1.4066089  -0.41344792 -0.02947511
 -1.7860577   0.4938726 ]","[-0.31267303 -0.17407644 -0.07456182 -0.5266646  -1.5527604   0.0974144
 -0.20596081 -0.7147356 ]"
1277,"[ 0.07791132 -0.10724049 -0.02672497  0.17570901 -0.01600009 -0.04112983
 -0.16933383  0.01053477]","[ 1.1915294  -0.9897841   0.12676866  1.4066244  -0.41341645 -0.02940092
 -1.7861179   0.49379718]","[-0.31267637 -0.17407343 -0.07455923 -0.52666354 -1.5527593   0.09741827
 -0.20596057 -0.7147338 ]"
1278,"[ 0.07791241 -0.10723755 -0.02672544  0.17570773 -0.01600011 -0.04112857
 -0.16933288  0.0105357 ]","[ 1.1915371  -0.9897684   0.1267578   1.4066167  -0.41342288 -0.02940195
 -1.7861242   0.49380586]","[-0.31267664 -0.17407334 -0.07455908 -0.52666354 -1.5527594   0.09741831
 -0.20596062 -0.71473354]"
1279,"[ 0.07791127 -0.10724057 -0.02672495  0.17570907 -0.01600011 -0.04112985
 -0.16933386  0.01053473]","[ 1.1915292  -0.98978466  0.12676887  1.406625   -0.41341645 -0.02940094
 -1.7861178   0.493797  ]","[-0.3126764  -0.17407349 -0.0745592  -0.52666354 -1.5527593   0.09741821
 -0.20596057 -0.7147338 ]"
1280,"[ 0.07791103 -0.10724091 -0.02672468  0.17570907 -0.01600022 -0.04113013
 -0.16933373  0.01053488]","[ 1.191528   -0.9897876   0.1267722   1.406625   -0.41341683 -0.02940249
 -1.7861165   0.49379846]","[-0.31267634 -0.17407346 -0.07455926 -0.52666354 -1.5527593   0.09741813
 -0.20596063 -0.7147338 ]"
1281,"[ 0.07791127 -0.10724059 -0.02672495  0.17570907 -0.01600011 -0.04112985
 -0.16933386  0.01053473]","[ 1.191529   -0.98978484  0.1267689   1.4066248  -0.41341645 -0.02940083
 -1.7861176   0.4937969 ]","[-0.31267637 -0.17407343 -0.0745592  -0.52666354 -1.5527592   0.09741822
 -0.20596062 -0.7147337 ]"
1282,"[ 0.07791126 -0.10724057 -0.02672493  0.17570905 -0.01600012 -0.04112984
 -0.16933385  0.01053474]","[ 1.191529   -0.9897846   0.12676902  1.4066247  -0.41341656 -0.02940086
 -1.7861176   0.49379706]","[-0.31267643 -0.17407343 -0.07455917 -0.52666354 -1.5527592   0.09741825
 -0.2059606  -0.7147337 ]"
1283,"[ 0.07791135 -0.10724049 -0.026725    0.17570901 -0.01600006 -0.04112982
 -0.16933386  0.01053475]","[ 1.1915295  -0.9897841   0.12676828  1.4066246  -0.41341618 -0.02940086
 -1.786118    0.49379712]","[-0.31267643 -0.17407343 -0.07455917 -0.52666354 -1.5527592   0.09741825
 -0.2059606  -0.7147337 ]"
1284,"[ 0.07791164 -0.10724005 -0.02672523  0.17570885 -0.01599985 -0.04112969
 -0.16933389  0.01053479]","[ 1.1915312  -0.98978096  0.12676524  1.4066232  -0.41341496 -0.02940091
 -1.7861199   0.49379724]","[-0.31267646 -0.17407337 -0.07455914 -0.52666354 -1.5527593   0.09741831
 -0.2059606  -0.71473366]"
1285,"[ 0.07791127 -0.10724057 -0.02672495  0.17570907 -0.01600011 -0.04112985
 -0.16933386  0.01053473]","[ 1.1915292  -0.98978466  0.12676887  1.406625   -0.41341645 -0.02940094
 -1.7861178   0.493797  ]","[-0.31267637 -0.17407343 -0.0745592  -0.52666354 -1.5527592   0.09741822
 -0.20596062 -0.7147337 ]"
1286,"[ 0.07791134 -0.1072399  -0.02672483  0.1757087  -0.01600039 -0.04112951
 -0.16933343  0.01053507]","[ 1.1915301  -0.989782    0.12676866  1.4066226  -0.41342044 -0.02940114
 -1.7861181   0.4938005 ]","[-0.31267646 -0.17407343 -0.0745592  -0.52666354 -1.5527593   0.09741816
 -0.20596065 -0.7147338 ]"
1287,"[ 0.0779113  -0.10724054 -0.02672498  0.17570904 -0.01600009 -0.04112983
 -0.16933388  0.01053474]","[ 1.1915293  -0.9897843   0.1267686   1.4066247  -0.41341627 -0.02940082
 -1.7861179   0.49379694]","[-0.31267643 -0.17407343 -0.07455917 -0.52666354 -1.5527592   0.09741825
 -0.2059606  -0.7147337 ]"
1288,"[ 0.0779114  -0.10724032 -0.02672504  0.17570893 -0.01600005 -0.04112977
 -0.16933382  0.0105348 ]","[ 1.1915299  -0.98978317  0.12676762  1.406624   -0.41341636 -0.02940104
 -1.7861184   0.49379766]","[-0.31267643 -0.17407343 -0.07455917 -0.52666354 -1.5527592   0.09741825
 -0.2059606  -0.7147337 ]"
1289,"[ 0.07791366 -0.1072279  -0.02672494  0.1757042  -0.01600412 -0.04112236
 -0.16932793  0.01053882]","[ 1.1915503  -0.98972297  0.12674098  1.4066007  -0.4134809  -0.02939419
 -1.7861323   0.49383882]","[-0.31267744 -0.17407322 -0.07455866 -0.5266632  -1.5527594   0.09741803
 -0.2059604  -0.7147333 ]"
1290,"[ 0.07791791 -0.10722895 -0.02672853  0.17570329 -0.01599619 -0.04112735
 -0.1693313   0.0105389 ]","[ 1.1915742  -0.98971754  0.12671041  1.4065834  -0.4134058  -0.02942053
 -1.7861543   0.49383026]","[-0.31267717 -0.17407283 -0.0745583  -0.526664   -1.5527592   0.09741877
 -0.20596075 -0.71473247]"
1291,"[ 0.07791125 -0.10724061 -0.02672493  0.17570907 -0.01600011 -0.04112988
 -0.16933386  0.01053474]","[ 1.1915287  -0.98978484  0.12676914  1.4066248  -0.41341633 -0.0294011
 -1.7861174   0.493797  ]","[-0.31267637 -0.17407343 -0.0745592  -0.52666354 -1.5527592   0.09741816
 -0.20596062 -0.7147337 ]"
1292,"[ 0.07791127 -0.10724059 -0.02672495  0.17570907 -0.01600011 -0.04112985
 -0.16933386  0.01053473]","[ 1.191529   -0.98978484  0.12676886  1.4066248  -0.4134164  -0.02940096
 -1.7861174   0.4937969 ]","[-0.3126764  -0.17407343 -0.0745592  -0.52666354 -1.5527592   0.09741816
 -0.20596062 -0.7147337 ]"
1293,"[ 0.07790836 -0.10723881 -0.02672001  0.1757067  -0.01600505 -0.04112976
 -0.1693278   0.01053943]","[ 1.19152    -0.9897978   0.12681049  1.4066108  -0.41346744 -0.02942073
 -1.7860993   0.49384403]","[-0.31267574 -0.17407444 -0.07455991 -0.52666366 -1.5527596   0.09741662
 -0.20596056 -0.7147344 ]"
1294,"[ 0.07791215 -0.10720836 -0.02671262  0.17568922 -0.01601517 -0.04112012
 -0.16930448  0.01056009]","[ 1.191576   -0.9896894   0.1268112   1.4065009  -0.41363162 -0.02949187
 -1.786115    0.49403974]","[-0.31267577 -0.1740762  -0.07456015 -0.52666426 -1.5527606   0.0974135
 -0.2059602  -0.7147337 ]"
1295,"[ 0.07791127 -0.10724059 -0.02672495  0.17570907 -0.01600011 -0.04112985
 -0.16933386  0.01053473]","[ 1.191529   -0.98978484  0.12676887  1.4066248  -0.4134164  -0.0294009
 -1.7861174   0.49379686]","[-0.31267637 -0.17407343 -0.0745592  -0.52666354 -1.5527592   0.09741822
 -0.20596062 -0.7147337 ]"
1296,"[ 0.07790542 -0.1072421  -0.02671722  0.17570761 -0.01600749 -0.04113108
 -0.16932659  0.01053993]","[ 1.1915036  -0.98982495  0.12684348  1.4066174  -0.41348353 -0.02942496
 -1.7860821   0.49385086]","[-0.31267515 -0.17407513 -0.07456054 -0.5266636  -1.5527599   0.09741594
 -0.20596045 -0.714735  ]"
1297,"[ 0.07791086 -0.10724118 -0.02672445  0.17570907 -0.01600031 -0.04113038
 -0.1693336   0.010535  ]","[ 1.191527   -0.9897899   0.12677489  1.4066246  -0.41341707 -0.02940387
 -1.786115    0.4937995 ]","[-0.31267628 -0.17407358 -0.07455932 -0.52666354 -1.5527593   0.09741802
 -0.20596063 -0.71473384]"
1298,"[ 0.07791127 -0.10724059 -0.02672495  0.17570907 -0.01600011 -0.04112985
 -0.16933386  0.01053473]","[ 1.191529   -0.98978484  0.12676887  1.4066248  -0.4134164  -0.0294009
 -1.7861174   0.49379686]","[-0.31267637 -0.17407343 -0.0745592  -0.52666354 -1.5527592   0.09741822
 -0.20596062 -0.7147337 ]"
1299,"[ 0.07791156 -0.10723979 -0.0267251   0.17570874 -0.01600011 -0.04112947
 -0.16933364  0.01053493]","[ 1.1915311  -0.98978025  0.12676573  1.406623   -0.41341814 -0.02940077
 -1.7861193   0.49379876]","[-0.31267646 -0.17407337 -0.07455914 -0.52666354 -1.5527593   0.09741828
 -0.20596059 -0.71473366]"
1300,"[ 0.07791129 -0.1072405  -0.02672494  0.175709   -0.01600012 -0.04112984
 -0.1693338   0.01053478]","[ 1.1915293  -0.98978454  0.12676893  1.4066244  -0.41341674 -0.02940116
 -1.7861178   0.49379754]","[-0.31267637 -0.17407343 -0.0745592  -0.52666354 -1.5527592   0.09741822
 -0.20596062 -0.7147337 ]"
1301,"[ 0.0779117  -0.1072378  -0.02672465  0.17570777 -0.01600105 -0.04112851
 -0.1693322   0.01053605]","[ 1.1915338  -0.98977274  0.12676561  1.4066175  -0.41343126 -0.02940258
 -1.7861202   0.4938099 ]","[-0.31267658 -0.17407352 -0.07455914 -0.5266635  -1.5527594   0.09741808
 -0.20596057 -0.7147337 ]"
1302,"[ 0.07878058 -0.10668471 -0.02796932  0.17597039 -0.01517959 -0.04044271
 -0.17041077  0.00959209]","[ 1.1950413  -0.98148054  0.11410379  1.4088058  -0.40660098 -0.02291354
 -1.7916367   0.48468116]","[-0.30278793 -0.18420944 -0.08284499 -0.52926797 -1.5562924   0.08384224
 -0.20602934 -0.7210887 ]"
1303,"[ 0.07880805 -0.10665359 -0.02800549  0.17597297 -0.0151617  -0.0404126
 -0.17043523  0.00956859]","[ 1.1951628  -0.98116463  0.11370268  1.4088471  -0.40648967 -0.02270683
 -1.7918098   0.48445868]","[-0.3028024  -0.1841962  -0.08283354 -0.5292639  -1.556288    0.0838594
 -0.20602854 -0.72108   ]"
1304,"[ 0.07880142 -0.10666149 -0.02799536  0.17597085 -0.01516507 -0.04042271
 -0.17042762  0.0095769 ]","[ 1.1951375  -0.98125136  0.11381326  1.4088224  -0.40650803 -0.02278166
 -1.7917659   0.4845342 ]","[-0.30279794 -0.18420011 -0.08283679 -0.5292655  -1.5562893   0.08385429
 -0.20602898 -0.72108215]"
1305,"[ 0.07881442 -0.10664146 -0.02801235  0.17597108 -0.0151603  -0.04040319
 -0.170437    0.00956614]","[ 1.195196   -0.9810742   0.11361266  1.408843   -0.4065001  -0.02266405
 -1.7918501   0.48443684]","[-0.30280602 -0.18419361 -0.08283092 -0.5292628  -1.5562873   0.08386254
 -0.20602822 -0.7210779 ]"
