node_id,tgn_memory,gt_embedding,scn_embedding
30,"[ 0.07786187 -0.10717193 -0.02665254  0.17567645 -0.01611737 -0.04106748
 -0.1692317   0.0105932 ]","[ 1.1913458  -0.9897314   0.12728246  1.4065307  -0.41466075 -0.0293811
 -1.7858374   0.49445173]","[-0.31272486 -0.17364237 -0.07428257 -0.5268588  -1.5525308   0.09808761
 -0.20614658 -0.7143817 ]"
31,"[ 0.07786142 -0.10717276 -0.02665236  0.17567693 -0.01611764 -0.04106761
 -0.16923195  0.01059282]","[ 1.1913426  -0.9897359   0.12728593  1.4065343  -0.41466123 -0.02937916
 -1.7858351   0.49444866]","[-0.31272477 -0.17364243 -0.07428254 -0.5268588  -1.5525308   0.09808767
 -0.20614658 -0.71438175]"
32,"[ 0.07786413 -0.10715966 -0.02665076  0.17566985 -0.01612048 -0.04106326
 -0.16922359  0.01060045]","[ 1.1913708  -0.98968226  0.12727171  1.4064895  -0.4147175  -0.02940392
 -1.7858484   0.49452016]","[-0.31272507 -0.17364275 -0.07428239 -0.526859   -1.552531    0.0980868
 -0.20614646 -0.7143813 ]"
33,"[ 0.07786155 -0.10717259 -0.02665249  0.1756769  -0.01611756 -0.04106749
 -0.16923203  0.01059276]","[ 1.1913433  -0.9897345   0.12728432  1.4065342  -0.41466084 -0.02937859
 -1.7858359   0.4944481 ]","[-0.3127248  -0.17364243 -0.07428254 -0.5268587  -1.5525308   0.09808767
 -0.20614658 -0.7143817 ]"
34,"[ 0.07786156 -0.10717257 -0.02665251  0.1756769  -0.01611755 -0.04106748
 -0.16923204  0.01059275]","[ 1.1913434  -0.98973405  0.12728418  1.4065341  -0.41466072 -0.02937845
 -1.785836    0.4944479 ]","[-0.3127248  -0.17364243 -0.07428251 -0.5268587  -1.5525308   0.09808767
 -0.20614657 -0.7143817 ]"
35,"[ 0.07786158 -0.10717253 -0.02665255  0.17567691 -0.01611756 -0.04106741
 -0.16923206  0.01059271]","[ 1.1913434  -0.98973393  0.12728359  1.4065346  -0.414661   -0.02937806
 -1.785836    0.4944476 ]","[-0.3127248  -0.1736424  -0.07428254 -0.5268587  -1.5525308   0.09808767
 -0.20614658 -0.7143817 ]"
36,"[ 0.07786153 -0.10717261 -0.02665247  0.1756769  -0.01611757 -0.0410675
 -0.16923201  0.01059277]","[ 1.1913432  -0.9897347   0.1272846   1.4065342  -0.41466096 -0.02937861
 -1.7858359   0.49444818]","[-0.31272477 -0.17364243 -0.07428254 -0.52685875 -1.5525308   0.09808767
 -0.20614658 -0.71438175]"
37,"[ 0.07786311 -0.10716075 -0.02665075  0.17567122 -0.01612184 -0.04106199
 -0.16922446  0.01059881]","[ 1.1913626  -0.98968565  0.12727433  1.406502   -0.414727   -0.02938895
 -1.7858442   0.49450725]","[-0.3127252  -0.17364264 -0.07428242 -0.52685875 -1.552531    0.09808697
 -0.20614639 -0.71438146]"
38,"[ 0.07786158 -0.10717253 -0.02665255  0.17567691 -0.01611756 -0.04106741
 -0.16923206  0.01059271]","[ 1.1913434  -0.98973393  0.12728359  1.4065346  -0.414661   -0.02937806
 -1.785836    0.4944476 ]","[-0.3127248  -0.1736424  -0.07428251 -0.5268587  -1.5525308   0.09808767
 -0.20614657 -0.7143817 ]"
39,"[ 0.07786158 -0.10717253 -0.02665255  0.17567691 -0.01611757 -0.04106741
 -0.16923206  0.01059271]","[ 1.1913434  -0.98973393  0.12728368  1.4065344  -0.41466102 -0.02937805
 -1.785836    0.49444756]","[-0.3127248  -0.1736424  -0.07428254 -0.5268587  -1.5525308   0.09808767
 -0.20614658 -0.7143817 ]"
