node_id,video_id,title,views,likes,comments,timestamp,category_id,category_name,source_type
5349,YE6KI4FJDGk,[Study Vlog] 학원에서 유튜브 찍다가 걸렸..다? 😵‍💫 | 과탐 전교 1등 | 공부 브이로그 | 고3 | 기말고사 | 룹 이어플러그 | 공부자극 | 수행평가 | 채앗,10263,291,90,1750658405,22,Unknown,키워드:학원
5350,pyVryCQgakE,다산신도시 다산피아노이야기음악학원 다산가람초 5-이건호,5,0,0,1750658405,10,Music,키워드:학원
5351,eLIKc9IIESM,몸조소학원 20250622 눈과 관골의 관계 질문,2001,12,1,1750658405,27,Unknown,키워드:학원
5352,anM8IytDfdA,지수 3000P - 지금은 네카오 타임   [박한샘] 일요 야간수업 (EP. 211)  06월 22일(일)  22시~  ㅣ박쌤의 주식학원ㅣ,6996,482,0,1750658405,27,Unknown,키워드:학원
5353,25_C4lFxSuc,평화로웠던 일상 | 동물병원 | 애견미용 | 애견미용학원 | 자두 | 뻥튀기,10,3,0,1750658405,22,Unknown,키워드:학원
5354,a72eVNV420c,차엔케이댄스학원 /경기시흥지부/국제웍숍,949,4,0,1750658405,22,Unknown,키워드:학원
5355,wA_mr_RBvMw,마인크래프트 합방! '제목학원' 특집!! [꿈의악마],13094,450,59,1750658405,23,Unknown,키워드:학원
5356,N0RLTM9tUnw,(속보) 정청래 실토 '김민석 못지키면 이재명이 끝장난다' 여야 전면전 돌입! 2025.6.22 오후6시,42588,4384,341,1750658406,25,News & Politics,키워드:속보
5357,Pgy1PjSRS-k,"[🔴속보] ""벙커버스터 6개 투하...B-2 폭격기 핵시설 공습 관여""｜트럼프 ""이란, 즉시 중단 않으면 다시 공격받을 것"" / 연합뉴스TV(YonhapnewsTV)",64402,676,2,1750658406,25,News & Politics,키워드:속보
5358,vFm-3ZmvCcc,"[🔴속보] '이란 최고지도자' 하메네이, 러시아 도피 준비설…비밀부대가 특별경호｜시리아 아사드 정권 전철 밟나 / 연합뉴스TV(YonhapnewsTV)",289443,2028,87,1750658406,25,News & Politics,키워드:속보
